LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,ParameterList,Message
1,APPSEV,1126539103,2005.09.12,R41-M1-N4-I:J18-U11,2005-09-12-08.31.43.214677,R41-M1-N4-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'reading', ' ', 'message', ' ', 'prefix', ' ', 'after', ' ', 'LOAD_MESSAGE', ' ', 'on', ' ', 'CioStream', ' ', 'socket', ' ', 'to', ' ', '<*>', ':', ' ', 'Link', ' ', 'has', ' ', 'been', ' ', 'severed']",4f29a595,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,['172.16.96.116:41304'],ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41304: Link has been severed
2,APPSEV,1126539106,2005.09.12,R53-M1-N0-I:J18-U01,2005-09-12-08.31.46.757073,R53-M1-N0-I:J18-U01,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'reading', ' ', 'message', ' ', 'prefix', ' ', 'after', ' ', 'LOAD_MESSAGE', ' ', 'on', ' ', 'CioStream', ' ', 'socket', ' ', 'to', ' ', '<*>', ':', ' ', 'Link', ' ', 'has', ' ', 'been', ' ', 'severed']",4f29a595,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,['172.16.96.116:41217'],ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41217: Link has been severed
3,-,1126587645,2005.09.12,R63-M1-NC-C:J06-U01,2005-09-12-22.00.45.953966,R63-M1-NC-C:J06-U01,RAS,KERNEL,INFO,"['total', ' ', 'of', ' ', '<*>', ' ', 'ddr', ' ', 'error(s)', ' ', 'detected', ' ', 'and', ' ', 'corrected']",147cfcff,total of <*> ddr error(s) detected and corrected,['1'],total of 1 ddr error(s) detected and corrected
4,KERNMNTF,1126627325,2005.09.13,R30-M0-N4-I:J18-U01,2005-09-13-09.02.05.602211,R30-M0-N4-I:J18-U01,RAS,KERNEL,FATAL,"['Lustre', ' ', 'mount', ' ', 'FAILED', ' ', ':', ' ', 'bglio388', ' ', ':', ' ', 'point', ' ', '/p/gb1']",0dbab2b1,Lustre mount FAILED : bglio388 : point /p/gb1,[],Lustre mount FAILED : bglio388 : point /p/gb1
5,APPSEV,1126798111,2005.09.15,R72-M1-N0-I:J18-U01,2005-09-15-08.28.31.789429,R72-M1-N0-I:J18-U01,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'reading', ' ', 'message', ' ', 'prefix', ' ', 'after', ' ', 'LOAD_MESSAGE', ' ', 'on', ' ', 'CioStream', ' ', 'socket', ' ', 'to', ' ', '<*>', ':', ' ', 'Link', ' ', 'has', ' ', 'been', ' ', 'severed']",4f29a595,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,['172.16.96.116:37916'],ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:37916: Link has been severed
6,-,1126894078,2005.09.16,R37-M0-NF-C:J07-U01,2005-09-16-11.07.58.039535,R37-M0-NF-C:J07-U01,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '<*>', ',', ' ', 'mask', ' ', '<*>']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['25', '0x1a544020', '0x40']","CE sym 25, at 0x1a544020, mask 0x40"
7,-,1126969026,2005.09.17,UNKNOWN_LOCATION,2005-09-17-07.57.06.422022,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,"['Ido', ' ', 'chip', ' ', 'status', ' ', 'changed', ':', ' ', 'FF', ':', 'F2', ':', '9F', ':', '<*>', ':', '7B', ':', 'E0', ':', '<*>', ':', '0D', ':', '<*>', ':', 'EA', ':', '<*>', ':', '1F', ' ', 'ip', '=', '10.7.0.130', ' ', 'v', '=', '<*>', ' ', 't', '=', '<*>', ' ', 'status', '=', 'M', ' ', '<*>', ' ', '<*>', ' ', 'PDT', ' ', '<*>']",2522ca81,Ido chip status changed: FF:F2:9F:<*>:7B:E0:<*>:0D:<*>:EA:<*>:1F ip=10.7.0.130 v=<*> t=<*> status=M <*> <*> PDT <*>,"['15', '00', '60', '84', '13', '1', 'Sat', 'Sep 17 07:49:04', '2005']",Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005
8,-,1126979315,2005.09.17,R76-M1-N8,2005-09-17-10.48.35.944995,R76-M1-N8,NULL,DISCOVERY,ERROR,"['Node', ' ', 'card', ' ', 'status', ':', ' ', 'no', ' ', 'ALERTs', ' ', 'are', ' ', 'active.', ' ', 'Clock', ' ', 'Mode', ' ', 'is', ' ', 'Low.', ' ', 'Clock', ' ', 'Select', ' ', 'is', ' ', 'Midplane.', ' ', 'Phy', ' ', 'JTAG', ' ', 'Reset', ' ', 'is', ' ', 'asserted.', ' ', 'ASIC', ' ', 'JTAG', ' ', 'Reset', ' ', 'is', ' ', 'asserted.', ' ', 'Temperature', ' ', 'Mask', ' ', 'is', ' ', 'not', ' ', 'active.', ' ', 'No', ' ', 'temperature', ' ', 'error.', ' ', 'Temperature', ' ', 'Limit', ' ', 'Error', ' ', 'Latch', ' ', 'is', ' ', 'clear.', ' ', 'PGOOD', ' ', 'IS', ' ', 'NOT', ' ', 'ASSERTED.', ' ', 'PGOOD', ' ', 'ERROR', ' ', 'LATCH', ' ', 'IS', ' ', 'ACTIVE.', ' ', 'MPGOOD', ' ', 'IS', ' ', 'NOT', ' ', 'OK.', ' ', 'MPGOOD', ' ', 'ERROR', ' ', 'LATCH', ' ', 'IS', ' ', 'ACTIVE.', ' ', 'The', ' ', '2.5', ' ', 'volt', ' ', 'rail', ' ', 'is', ' ', 'OK.', ' ', 'The', ' ', '1.5', ' ', 'volt', ' ', 'rail', ' ', 'is', ' ', 'OK.']",5ceb0a30,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,[],Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
9,-,1127078365,2005.09.18,R71-M1-N8-C:J17-U11,2005-09-18-14.19.25.940731,R71-M1-N8-C:J17-U11,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x123b6ca0', ',', ' ', 'mask', ' ', '0x20']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['9', '0x123b6ca0', '0x20']","CE sym 9, at 0x123b6ca0, mask 0x20"
10,-,1127147534,2005.09.19,R01-M0-NC-I:J18-U01,2005-09-19-09.32.14.136187,R01-M0-NC-I:J18-U01,RAS,APP,FATAL,"['ciod', ':', ' ', 'LOGIN', ' ', '<*>', ' ', 'failed', ':', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",4983ff07,ciod: LOGIN <*> failed: No such file or directory,['chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST)'],ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory
