EventId,EventTemplate
4f29a595,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed
147cfcff,total of <*> ddr error(s) detected and corrected
0dbab2b1,Lustre mount FAILED : bglio388 : point /p/gb1
65f23e3e,"CE sym <*>, at <*>, mask <*>"
2522ca81,Ido chip status changed: FF:F2:9F:<*>:7B:E0:<*>:0D:<*>:EA:<*>:1F ip=10.7.0.130 v=<*> t=<*> status=M <*> <*> PDT <*>
5ceb0a30,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
4983ff07,ciod: LOGIN <*> failed: No such file or directory
3fd17e58,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>"
3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory"
e546f3ab,rts: bad message header: expecting type <*> instead of type <*> (softheader=00131db8 81aa0003 <*> 00000000) PSR0=00001f01 PSR1=<*> PRXF=<*> PIXF=<*>
1840cbfe,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
11b69b8b,ciod: generated <*> core files for program <*>
e8d9174d,critical input interrupt (unit=0x0b bit=<*>: warning for torus <*> wire
62adcf76,"ciod: Error loading <*>: invalid or missing program image, Permission denied"
ea3efa0b,suppressing further interrupts of same type
0abbf6c0,<*> tree receiver <*> in re-synch state event(s) (dcr 0x019a) detected
f3eed4bf,data cache search parity error detected. attempting to correct
a828f891,shutdown complete
c91606ba,"ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error"
130bb340,rts: kernel terminated for reason <*>
63afc906,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> 00000000) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>"
3aa50e45,instruction cache parity error corrected
1b700d02,iar <*> dear <*>
1ae4a1e2,<*> floating point alignment exceptions
5f7a3f75,program interrupt: privileged instruction...0
665877a9,<*> torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected
5f1ce04e,<*> L3 EDRAM error(s) (dcr 0x0157) detected and corrected
e84d0e9f,"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type"
bbb20c30,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds
f9631383,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
4f1ef491,Lustre mount FAILED : <*> : block_id : location
5a695884,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
4003f299,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out"
412be176,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer"
8a5c46f9,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000
cde878c1,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed"
cfcd2084,0
f11a9859,<*> tree receiver <*> in re-synch state event(s) (dcr 0x0185) detected over <*> seconds
322228ab,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
0045c3a8,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
30b3b946,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds"
ea55c1d7,"PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:<*>:E0:DA:<*>:0D:<*>:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action <*>"
2fe09ae5,"Kernel detected <*> integer alignment exceptions <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*> <*> iar <*>, dear <*>"
8df7ac9e,total of <*> ddr error(s) detected and corrected over <*> seconds
64d56eed,minus normalized number..................0
c56cf501,fraction rounded.........................0
a2335b6b,Node card is not fully functional
0ea50ffe,"critical input interrupt (unit=0x0b bit=0x17): warning for tree C1 wire, suppressing further interrupts of same type"
f848d6c7,size of scratchpad portion of L3.........0 (0M)
a77244af,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error
2355b700,ciod: pollControlDescriptors: Detected the debugger died.
eaa56c2c,<*> L3 EDRAM error(s) (dcr 0x0157) detected and corrected over <*> seconds
c3982115,"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, <*> > <*>"
1a068bbf,fpr29=0xffffffff ffffffff ffffffff ffffffff
6e12673f,Machine State Register: 0x0002f900
