LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList,Message
1,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:25.366,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['Active', ' ', 'base', ' ', 'files', ':', ' ', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']",7fcec85c,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,[],Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
2,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:26.486,25746,INFO,nova.osapi_compute.wsgi.server,req-b2a03290-0331-430f-93f8-b3ead868b0d5 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '<*>']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2558751"
3,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:26.856,25746,INFO,nova.osapi_compute.wsgi.server,req-3ce8c6ef-a314-44fc-84ba-752e2f6cadde 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.3656721']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.3656721"
4,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:28.293,25746,INFO,nova.osapi_compute.wsgi.server,req-62d76f3f-ce7b-4d81-babe-cb80cafb0c46 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.4316020']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4316020"
5,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:28.546,25746,INFO,nova.osapi_compute.wsgi.server,req-23157160-b741-469c-a6c0-9d3a1548c852 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2495072']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2495072"
6,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:29.818,25746,INFO,nova.osapi_compute.wsgi.server,req-d4f8d0c2-4f21-4b38-9f85-d82f8da75c23 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2663860']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2663860"
7,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:30.088,25746,INFO,nova.osapi_compute.wsgi.server,req-deb750c5-cf92-4e47-b828-298d46ee7b78 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2659440']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2659440"
8,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.420,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['image', ' ', '0673dd71-34c5-4fbb-86c4-40623fbe45b4', ' ', 'at', ' ', '(', ' ', '<*>', ' ', 'checking']",f0318639,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> checking,[],image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking
9,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.421,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['image', ' ', '0673dd71-34c5-4fbb-86c4-40623fbe45b4', ' ', 'at', ' ', '(', ' ', '<*>', ' ', 'in', ' ', 'use', ':', ' ', 'on', ' ', 'this', ' ', 'node', ' ', '<*>', ' ', 'local', ',', ' ', '<*>', ' ', 'on', ' ', 'other', ' ', 'nodes', ' ', 'sharing', ' ', 'this', ' ', 'instance', ' ', 'storage']",9084abc9,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage",[],"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
10,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.615,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['Active', ' ', 'base', ' ', 'files', ':', ' ', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']",7fcec85c,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,[],Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
11,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:30.844,25743,INFO,nova.api.openstack.compute.server_external_events,req-8c36e637-8e89-4cbe-813d-c5f46cc79818 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"['Creating', ' ', 'event', ' ', 'network-vif-plugged', ':', '<*>', ' ', 'for', ' ', 'instance', ' ', '<*>']",3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,"['418c107f-95d6-4655-ae6b-90bca57d9a71', 'be793e89-2cc3-4f99-9884-9c6a624a84bc']",Creating event network-vif-plugged:418c107f-95d6-4655-ae6b-90bca57d9a71 for instance be793e89-2cc3-4f99-9884-9c6a624a84bc
12,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:30.848,25743,INFO,nova.osapi_compute.wsgi.server,req-8c36e637-8e89-4cbe-813d-c5f46cc79818 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"[' ', '<*>', ' ', ' ', '""', 'POST', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '<*>']",3670a4a8,"<*> ""POST <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0919530"
