EventId,EventTemplate
7fcec85c,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>"
f0318639,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> checking
9084abc9,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage"
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>
3670a4a8,"<*> ""POST <*> HTTP <*> status: <*> len: <*> time: <*>"
16b764ff,[instance: <*>] VM Resumed (Lifecycle Event)
796fd834,[instance: <*>] Instance spawned successfully.
9f276c62,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.
fe9c1237,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.
e51c49ab,[instance: <*>] Took <*> seconds to build instance.
ca5c5e0f,"<*> ""DELETE <*> HTTP <*> status: <*> len: <*> time: <*>"
06476222,[instance: <*>] Terminating instance
93995b30,[instance: <*>] Instance destroyed successfully.
27286d97,[instance: <*>] Deleting instance files <*>
822b21a7,[instance: <*>] Deletion of <*> complete
a4ab0dee,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.
652a820e,[instance: <*>] Took <*> seconds to deallocate network for instance.
9f8fe8c0,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
585dae77,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
0fa9285a,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
66acd71e,HTTP exception thrown: No instances found for any event
649b9389,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU"
889a065a,"[instance: <*>] Total memory: <*> MB, used: 512.00 MB"
afea322e,"[instance: <*>] memory limit: 96258.00 MB, free: 95746.00 MB"
47908185,"[instance: <*>] Total disk: <*> GB, used: 0.00 GB"
b6262c55,"[instance: <*>] disk limit not specified, defaulting to unlimited"
49e1c065,"[instance: <*>] Total vcpu: <*> VCPU, used: 0.00 VCPU"
1c72f1dd,"[instance: <*>] vcpu limit not specified, defaulting to unlimited"
ad03d9ef,[instance: <*>] Claim successful
50e0ef31,[instance: <*>] Creating image
74098f89,[instance: <*>] VM Stopped (Lifecycle Event)
e62ddd64,[instance: <*>] VM Started (Lifecycle Event)
3f57c2b3,[instance: <*>] VM Paused (Lifecycle Event)
9f12feda,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.
bc0f0d5b,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>"
5d3776cd,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=<*> phys_disk=15GB used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[]
12b67311,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
c443f3fd,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
