LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList,Message
1,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1239'],Got assigned task 1239
2,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '<*>', ' ', 'in', ' ', 'stage', ' ', '<*>', ' ', '(TID', ' ', '<*>']",ae0572db,Running task <*> in stage <*> (TID <*>,"['39.0', '26.0', '1239)']",Running task 39.0 in stage 26.0 (TID 1239)
3,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['47', '17', '23', '7']","Times: total = 47, boot = 17, init = 23, finish = 7"
4,17/06/09,20:11:08,INFO,spark.CacheManager,"['Partition', ' ', '<*>', ' ', 'not', ' ', 'found', ',', ' ', 'computing', ' ', 'it']",3d6e0eb0,"Partition <*> not found, computing it",['rdd_42_38'],"Partition rdd_42_38 not found, computing it"
5,17/06/09,20:11:08,INFO,rdd.HadoopRDD,"['Input', ' ', 'split', ':', ' ', 'hdfs', ':', '//<*>/pjhe/logs/2kSOSP.log', ':', '<*>']",beefc03b,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>,"['10.10.34.11:9000', '277096+7292']",Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:277096+7292
6,17/06/09,20:11:08,INFO,spark.CacheManager,"['Partition', ' ', 'rdd_42_39', ' ', 'not', ' ', 'found', ',', ' ', 'computing', ' ', 'it']",3d6e0eb0,"Partition <*> not found, computing it",['rdd_42_39'],"Partition rdd_42_39 not found, computing it"
7,17/06/09,20:11:08,INFO,rdd.HadoopRDD,"['Input', ' ', 'split', ':', ' ', 'hdfs', ':', '//<*>/pjhe/logs/2kSOSP.log', ':', '284388+7303']",beefc03b,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>,"['10.10.34.11:9000', '284388+7303']",Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:284388+7303
8,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', '<*>', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '<*>', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '<*>', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block rdd_42_35 stored as bytes in memory (estimated size 917.0 B, free 834.6 KB)"
9,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['53', '8', '40', '5']","Times: total = 53, boot = 8, init = 40, finish = 5"
10,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['53', '12', '36', '5']","Times: total = 53, boot = 12, init = 36, finish = 5"
