EventId,EventTemplate
9ba7fdc2,Got assigned task <*>
ae0572db,Running task <*> in stage <*> (TID <*>
93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
3d6e0eb0,"Partition <*> not found, computing it"
beefc03b,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>
e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )"
33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
6c90e140,Started reading broadcast variable <*>
c0edc03b,Reading broadcast variable <*> took <*> ms
3528ee28,"Block <*> stored as values in memory (estimated size <*> <*> , free <*> <*> )"
d7f24216,Found block <*> locally
