LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,ParameterList,Message
1,2015-08-10,"18:12:35,690",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,349,"['caught', ' ', 'end', ' ', 'of', ' ', 'stream', ' ', 'exception']",ecefe136,caught end of stream exception,[],caught end of stream exception
2,2015-08-10,"18:12:47,212",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,839,"['Client', ' ', 'attempting', ' ', 'to', ' ', 'establish', ' ', 'new', ' ', 'session', ' ', 'at', ' ', '/<*>']",16e13a06,Client attempting to establish new session at /<*>,['10.10.34.11:50990'],Client attempting to establish new session at /10.10.34.11:50990
3,2015-08-10,"18:12:48,994",INFO,CommitProcessor,2:ZooKeeperServer,595,"['Established', ' ', 'session', ' ', '<*>', ' ', 'with', ' ', 'negotiated', ' ', 'timeout', ' ', '<*>', ' ', 'for', ' ', 'client', ' ', '/<*>']",a6705c08,Established session <*> with negotiated timeout <*> for client /<*>,"['0x24f0557806a001e', '10000', '10.10.34.11:51000']",Established session 0x24f0557806a001e with negotiated timeout 10000 for client /10.10.34.11:51000
4,2015-08-10,"18:12:50,548",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,793,"['Connection', ' ', 'request', ' ', 'from', ' ', 'old', ' ', 'client', ' ', '/<*>', ';', ' ', 'will', ' ', 'be', ' ', 'dropped', ' ', 'if', ' ', 'server', ' ', 'is', ' ', 'in', ' ', 'r-o', ' ', 'mode']",b9a04571,Connection request from old client /<*>; will be dropped if server is in r-o mode,['10.10.34.25:44819'],Connection request from old client /10.10.34.25:44819; will be dropped if server is in r-o mode
5,2015-08-10,"18:23:56,257",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,793,"['Connection', ' ', 'request', ' ', 'from', ' ', 'old', ' ', 'client', ' ', '/<*>', ';', ' ', 'will', ' ', 'be', ' ', 'dropped', ' ', 'if', ' ', 'server', ' ', 'is', ' ', 'in', ' ', 'r-o', ' ', 'mode']",b9a04571,Connection request from old client /<*>; will be dropped if server is in r-o mode,['10.10.34.15:49471'],Connection request from old client /10.10.34.15:49471; will be dropped if server is in r-o mode
6,2015-08-10,"18:23:56,268",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:Learner,107,"['Revalidating', ' ', 'client', ':', ' ', '0x24f0557806a001c']",18863e3d,Revalidating client: 0x24f0557806a001c,[],Revalidating client: 0x24f0557806a001c
7,2015-08-10,"18:25:25,206",INFO,main,DatadirCleanupManager,79,"['autopurge.purgeInterval', ' ', 'set', ' ', 'to', ' ', '<*>']",bde42fae,autopurge.purgeInterval set to <*>,['0'],autopurge.purgeInterval set to 0
8,2015-08-10,"18:25:25,239",INFO,main,QuorumPeer,944,"['maxSessionTimeout', ' ', 'set', ' ', 'to', ' ', '-1']",689b0f5e,maxSessionTimeout set to -1,[],maxSessionTimeout set to -1
9,2015-08-10,"18:25:25,413",INFO,/10.10.34.12,3888:QuorumCnxManager$Listener,493,"['Received', ' ', 'connection', ' ', 'request', ' ', '/<*>']",f4cc9d27,Received connection request /<*>,['10.10.34.13:44925'],Received connection request /10.10.34.13:44925
10,2015-08-10,"18:25:25,673",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:QuorumPeer,738,['FOLLOWING'],c172d526,FOLLOWING,[],FOLLOWING
11,2015-08-10,"18:25:27,950",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,793,"['Connection', ' ', 'request', ' ', 'from', ' ', 'old', ' ', 'client', ' ', '/<*>', ';', ' ', 'will', ' ', 'be', ' ', 'dropped', ' ', 'if', ' ', 'server', ' ', 'is', ' ', 'in', ' ', 'r-o', ' ', 'mode']",b9a04571,Connection request from old client /<*>; will be dropped if server is in r-o mode,['10.10.34.11:51259'],Connection request from old client /10.10.34.11:51259; will be dropped if server is in r-o mode
12,2015-08-10,"18:25:27,951",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,197,"['Accepted', ' ', 'socket', ' ', 'connection', ' ', 'from', ' ', '/<*>']",c2d2b5cf,Accepted socket connection from /<*>,['10.10.34.11:51260'],Accepted socket connection from /10.10.34.11:51260
